"Pass []","re(Mode(1)) [g]"
1,4.02515634285819
2,4.16003558884526
3,4.21781922900222
4,4.2559587082498
5,4.2782121502849
6,4.29409645744355
7,
8,
9,
10,
11,
12,
13,
14,
15,
